method,uri,controller,action,middleware_permission,module_gate,controller_check_permissions,classification,notes
GET|HEAD,/api/v1/enrichment-results,App\Modules\Product\Presentation\Controllers\EnrichmentReviewController,index,enrichment.view,Inventory,controller:enrichment.view,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/enrichment-results/{id},App\Modules\Product\Presentation\Controllers\EnrichmentReviewController,show,enrichment.view,Inventory,controller:enrichment.view,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/products/{productId}/enrichment/refresh,App\Modules\Product\Presentation\Controllers\EnrichmentRefreshController,__invoke,enrichment.view,Inventory,,MIDDLEWARE,
POST,/api/v1/enrichment-results/{id}/accept,App\Modules\Product\Presentation\Controllers\EnrichmentReviewController,accept,enrichment.review,Inventory,controller:enrichment.review | formrequest[AcceptEnrichmentRequest]:OPEN(returns true),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/enrichment-results/{id}/reject,App\Modules\Product\Presentation\Controllers\EnrichmentReviewController,reject,enrichment.review,Inventory,controller:enrichment.review | formrequest[RejectEnrichmentRequest]:OPEN(returns true),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/products/{product}/images,App\Modules\Catalog\Presentation\Controllers\ProductMediaController,index,products.view,Inventory,,MIDDLEWARE,
POST,/api/v1/products/{product}/images,App\Modules\Catalog\Presentation\Controllers\ProductMediaController,store,products.view; products.update,Inventory,,MIDDLEWARE,
PATCH,/api/v1/products/{product}/images/{image},App\Modules\Catalog\Presentation\Controllers\ProductMediaController,update,products.view; products.update,Inventory,formrequest[AttachMediaRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/products/{product}/images/{image},App\Modules\Catalog\Presentation\Controllers\ProductMediaController,destroy,products.view; products.update,Inventory,,MIDDLEWARE,
GET|HEAD,/api/v1/products/{product}/images/{image}/download,App\Modules\Catalog\Presentation\Controllers\ProductMediaController,download,products.view,Inventory,,MIDDLEWARE,
POST,/api/v1/products/{product}/images/reorder,App\Modules\Catalog\Presentation\Controllers\ProductMediaController,reorder,products.view; products.update,Inventory,formrequest[ReorderMediaRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/media/{tenant}/{attachment}/serve,App\Modules\Catalog\Presentation\Controllers\SignedMediaController,serve,,,,PUBLIC,
GET|HEAD,/api/v1/public/products/{product}/images,App\Modules\Catalog\Presentation\Controllers\PublicProductMediaController,index,,,,PUBLIC,
GET|HEAD,/api/v1/public/products/{product}/images/{image},App\Modules\Catalog\Presentation\Controllers\PublicProductMediaController,show,,,,PUBLIC,
GET|HEAD,/api/v1/fraud-settings,App\Modules\Compliance\Presentation\Controllers\FraudSettingsController,show,fraud-settings.view,,,MIDDLEWARE,
PATCH,/api/v1/fraud-settings,App\Modules\Compliance\Presentation\Controllers\FraudSettingsController,update,fraud-settings.update,,controller:pos.configure_cash_count,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/fraud-settings/reset,App\Modules\Compliance\Presentation\Controllers\FraudSettingsController,reset,fraud-settings.update,,controller:pos.configure_cash_count,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/fraud-alerts,App\Modules\Compliance\Presentation\Controllers\FraudAlertController,index,fraud-alerts.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/fraud-alerts/statistics,App\Modules\Compliance\Presentation\Controllers\FraudAlertController,statistics,fraud-alerts.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/fraud-alerts/{alert},App\Modules\Compliance\Presentation\Controllers\FraudAlertController,show,fraud-alerts.view,,,MIDDLEWARE,
POST,/api/v1/fraud-alerts/{alert}/assign,App\Modules\Compliance\Presentation\Controllers\FraudAlertController,assign,fraud-alerts.manage,,,MIDDLEWARE,
POST,/api/v1/fraud-alerts/{alert}/dismiss,App\Modules\Compliance\Presentation\Controllers\FraudAlertController,dismiss,fraud-alerts.manage,,,MIDDLEWARE,
POST,/api/v1/fraud-alerts/{alert}/resolve,App\Modules\Compliance\Presentation\Controllers\FraudAlertController,resolve,fraud-alerts.manage,,,MIDDLEWARE,
POST,/api/v1/compliance/nf525/export-jet,App\Modules\Compliance\Presentation\Controllers\Nf525ExportController,exportJet,compliance.export_jet,,,MIDDLEWARE,
POST,/api/v1/compliance/nf525/verify-chains,App\Modules\Compliance\Presentation\Controllers\Nf525ExportController,verifyChains,compliance.verify_chains,,,MIDDLEWARE,
GET|HEAD,/api/v1/compliance/nf525/reprint-log,App\Modules\Compliance\Presentation\Controllers\Nf525ExportController,reprintLog,compliance.view_reprint_log,,,MIDDLEWARE,
GET|HEAD,/api/v1/partners,App\Modules\Partner\Presentation\Controllers\PartnerController,index,partners.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/partners/{partner},App\Modules\Partner\Presentation\Controllers\PartnerController,show,partners.view,,,MIDDLEWARE,
POST,/api/v1/partners/{partner}/deposits,App\Modules\Partner\Presentation\Controllers\PartnerDepositController,store,payments.create,,formrequest[RecordDepositRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/partners/{partner}/deposits,App\Modules\Partner\Presentation\Controllers\PartnerDepositController,index,payments.view,,,MIDDLEWARE,
POST,/api/v1/partners,App\Modules\Partner\Presentation\Controllers\PartnerController,store,partners.create,,formrequest[CreatePartnerRequest]:OPEN(returns true),MIDDLEWARE,
PATCH,/api/v1/partners/{partner},App\Modules\Partner\Presentation\Controllers\PartnerController,update,partners.update,,formrequest[UpdatePartnerRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/partners/{partner},App\Modules\Partner\Presentation\Controllers\PartnerController,destroy,partners.delete,,,MIDDLEWARE,
POST,/api/v1/partners/{partner}/validate-tax-id,App\Modules\Partner\Presentation\Controllers\PartnerController,validateTaxId,partners.update,,,MIDDLEWARE,
GET|HEAD,/api/v1/partners/{partner}/tax-status,App\Modules\Partner\Presentation\Controllers\PartnerController,taxStatus,partners.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/partners/{partner}/contacts,App\Modules\Partner\Presentation\Controllers\PartnerController,contacts,partners.view,,,MIDDLEWARE,
POST,/api/v1/webhooks/channels/{channelId},App\Modules\Channel\Presentation\Controllers\ChannelWebhookController,__invoke,,,,PUBLIC,webhook route with NO signature-verification middleware visible at the route/group level (may be checked inside the controller — not scanned by this permission-focused sweep)
GET|HEAD,/api/v1/channels,App\Modules\Channel\Presentation\Controllers\ChannelController,index,,Ecommerce,,AUTH_ONLY,
POST,/api/v1/channels,App\Modules\Channel\Presentation\Controllers\ChannelController,store,,Ecommerce,,AUTH_ONLY,
GET|HEAD,/api/v1/channels/orders,App\Modules\Channel\Presentation\Controllers\ChannelOrderController,indexAll,,Ecommerce,,AUTH_ONLY,
POST,/api/v1/channels/{id}/test-connection,App\Modules\Channel\Presentation\Controllers\ChannelController,testConnection,,Ecommerce,,AUTH_ONLY,
POST,/api/v1/channels/{id}/resync,App\Modules\Channel\Presentation\Controllers\ChannelController,resync,,Ecommerce,,AUTH_ONLY,
GET|HEAD,/api/v1/channels/{id}/sync-operations,App\Modules\Channel\Presentation\Controllers\ChannelSyncOperationController,index,,Ecommerce,,AUTH_ONLY,
GET|HEAD,/api/v1/channels/{id}/orders,App\Modules\Channel\Presentation\Controllers\ChannelOrderController,index,,Ecommerce,,AUTH_ONLY,
POST,/api/v1/channels/{channelId}/orders/{orderId}/promote,App\Modules\Channel\Presentation\Controllers\ChannelOrderController,promote,,Ecommerce,,AUTH_ONLY,
POST,/api/v1/channels/{channelId}/products/{productId}/publish,App\Modules\Channel\Presentation\Controllers\ChannelProductController,publish,,Ecommerce,,AUTH_ONLY,
POST,/api/v1/channels/{channelId}/products/{productId}/unpublish,App\Modules\Channel\Presentation\Controllers\ChannelProductController,unpublish,,Ecommerce,,AUTH_ONLY,
GET|HEAD,/api/v1/dashboard/stats,App\Modules\Dashboard\Presentation\Controllers\DashboardController,stats,,,,AUTH_ONLY,
POST,/api/v1/pos/held-orders,App\Modules\POS\Presentation\Controllers\HeldOrderController,store,pos_held_orders.create,,formrequest[HoldOrderRequest]:CHECK(non-permission-string),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/pos/held-orders,App\Modules\POS\Presentation\Controllers\HeldOrderController,index,pos_held_orders.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/pos/held-orders/{id},App\Modules\POS\Presentation\Controllers\HeldOrderController,show,pos_held_orders.view,,,MIDDLEWARE,
POST,/api/v1/pos/held-orders/{id}/recall,App\Modules\POS\Presentation\Controllers\HeldOrderController,recall,pos_held_orders.create,,,MIDDLEWARE,
DELETE,/api/v1/pos/held-orders/{id},App\Modules\POS\Presentation\Controllers\HeldOrderController,destroy,pos_held_orders.delete,,,MIDDLEWARE,
GET|HEAD,/api/v1/pos/floors,App\Modules\POS\Presentation\Controllers\TableController,indexFloors,,Tables,controller:pos.manage_tables,CONTROLLER,
POST,/api/v1/pos/floors,App\Modules\POS\Presentation\Controllers\TableController,storeFloor,,Tables,controller:pos.manage_tables | formrequest[CreateFloorRequest]:OPEN(returns true),CONTROLLER,
PATCH,/api/v1/pos/floors/{id},App\Modules\POS\Presentation\Controllers\TableController,updateFloor,,Tables,controller:pos.manage_tables | formrequest[UpdateFloorRequest]:OPEN(returns true),CONTROLLER,
DELETE,/api/v1/pos/floors/{id},App\Modules\POS\Presentation\Controllers\TableController,destroyFloor,,Tables,controller:pos.manage_tables,CONTROLLER,
GET|HEAD,/api/v1/pos/tables,App\Modules\POS\Presentation\Controllers\TableController,indexTables,,Tables,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/tables,App\Modules\POS\Presentation\Controllers\TableController,storeTable,,Tables,controller:pos.manage_tables | formrequest[CreateTableRequest]:OPEN(returns true),CONTROLLER,
PATCH,/api/v1/pos/tables/{id},App\Modules\POS\Presentation\Controllers\TableController,updateTable,,Tables,controller:pos.manage_tables | formrequest[UpdateTableRequest]:OPEN(returns true),CONTROLLER,
DELETE,/api/v1/pos/tables/{id},App\Modules\POS\Presentation\Controllers\TableController,destroyTable,,Tables,controller:pos.manage_tables,CONTROLLER,
POST,/api/v1/pos/tables/{id}/release,App\Modules\POS\Presentation\Controllers\TableController,releaseTable,,Tables,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/tables/{id}/status,App\Modules\POS\Presentation\Controllers\TableController,setStatus,,Tables,controller:pos.operate_terminal | formrequest[SetTableStatusRequest]:OPEN(returns true),CONTROLLER,
POST,/api/v1/pos/auth/verify-pin,App\Modules\POS\Presentation\Controllers\PosAuthController,verifyPin,,,controller:pos.operate_terminal | formrequest[VerifyPinRequest]:OPEN(returns true) | service[DiscountPermissionResolver::isAdmin]:hasRole(),CONTROLLER,
POST,/api/v1/pos/auth/setup-pin,App\Modules\POS\Presentation\Controllers\PosAuthController,setupPin,,,controller:pos.operate_terminal | service[DiscountPermissionResolver::isAdmin]:hasRole(),CONTROLLER,
GET|HEAD,/api/v1/pos/auth/has-pins,App\Modules\POS\Presentation\Controllers\PosAuthController,hasPins,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/auth/pin-data,App\Modules\POS\Presentation\Controllers\PosAuthController,pinData,,,controller:pos.operate_terminal | service[DiscountPermissionResolver::isAdmin]:hasRole(),CONTROLLER,
POST,/api/v1/pos/auth/sync-pins,App\Modules\POS\Presentation\Controllers\PosAuthController,syncPins,,,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/audit-events/sync,App\Modules\POS\Presentation\Controllers\AuditEventSyncController,sync,,,controller:pos.audit_sync,CONTROLLER,
GET|HEAD,/api/v1/pos/terminals,App\Modules\POS\Presentation\Controllers\TerminalController,index,,,controller:pos.manage_terminals,CONTROLLER,
GET|HEAD,/api/v1/pos/terminals/available,App\Modules\POS\Presentation\Controllers\TerminalController,available,,,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/terminals/claim,App\Modules\POS\Presentation\Controllers\TerminalController,claim,,,controller:pos.operate_terminal | formrequest[ClaimTerminalRequest]:OPEN(returns true),CONTROLLER,
POST,/api/v1/pos/terminals/request,App\Modules\POS\Presentation\Controllers\TerminalController,requestTerminal,,,controller:pos.operate_terminal | formrequest[RequestTerminalRequest]:OPEN(returns true),CONTROLLER,
POST,/api/v1/pos/terminals/web,App\Modules\POS\Presentation\Controllers\TerminalController,getOrCreateWebTerminal,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/terminals/by-device/{hardwareIdentifier},App\Modules\POS\Presentation\Controllers\TerminalController,findByDevice,,,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/terminals,App\Modules\POS\Presentation\Controllers\TerminalController,store,,,controller:pos.manage_terminals | formrequest[CreateTerminalRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/terminals/{id},App\Modules\POS\Presentation\Controllers\TerminalController,show,,,,CONTROLLER,
PATCH,/api/v1/pos/terminals/{id},App\Modules\POS\Presentation\Controllers\TerminalController,update,,,controller:pos.manage_terminals | formrequest[UpdateTerminalRequest]:OPEN(returns true),CONTROLLER,
DELETE,/api/v1/pos/terminals/{id},App\Modules\POS\Presentation\Controllers\TerminalController,destroy,,,controller:pos.manage_terminals,CONTROLLER,
PATCH,/api/v1/pos/terminals/{id}/activate,App\Modules\POS\Presentation\Controllers\TerminalController,activate,,,controller:pos.manage_terminals,CONTROLLER,
PATCH,/api/v1/pos/terminals/{id}/deactivate,App\Modules\POS\Presentation\Controllers\TerminalController,deactivate,,,controller:pos.manage_terminals,CONTROLLER,
POST,/api/v1/pos/terminals/{id}/release,App\Modules\POS\Presentation\Controllers\TerminalController,release,,,controller:pos.manage_terminals | formrequest[ReleaseTerminalRequest]:OPEN(returns true),CONTROLLER,
PATCH,/api/v1/pos/terminals/{id}/archive,App\Modules\POS\Presentation\Controllers\TerminalController,archive,,,controller:pos.manage_terminals,CONTROLLER,
POST,/api/v1/pos/terminals/{id}/toggle-training,App\Modules\POS\Presentation\Controllers\TerminalController,toggleTrainingMode,,,controller:pos.manage_terminals,CONTROLLER,
GET|HEAD,/api/v1/pos/terminals/{id}/z-chain-state,App\Modules\POS\Presentation\Controllers\TerminalController,zChainState,,,,CONTROLLER,
POST,/api/v1/pos/terminals/{terminal}/fiscal-schema-cutover,App\Modules\POS\Presentation\Controllers\FiscalSchemaCutoverController,__invoke,,,controller:pos.fiscal_schema_cutover,CONTROLLER,
POST,/api/v1/pos/terminals/{id}/acknowledge-v4-refund-authoring,App\Modules\POS\Presentation\Controllers\V4RefundAuthoringAcknowledgementController,__invoke,,,,CONTROLLER,
POST,/api/v1/pos/shifts/open,App\Modules\POS\Presentation\Controllers\ShiftController,open,,,controller:pos.manage_shifts | formrequest[OpenShiftRequest]:CHECK(non-permission-string),CONTROLLER,
POST,/api/v1/pos/shifts/{id}/close,App\Modules\POS\Presentation\Controllers\ShiftController,close,,,controller:pos.manage_shifts | formrequest[CloseShiftRequest]:CHECK(non-permission-string),CONTROLLER,
POST,/api/v1/pos/cash-drawer/deposit,App\Modules\POS\Presentation\Controllers\CashDrawerController,deposit,,,controller:pos.operate_terminal | formrequest[RecordDepositRequest]:CHECK(non-permission-string),CONTROLLER,
POST,/api/v1/pos/cash-drawer/payout,App\Modules\POS\Presentation\Controllers\CashDrawerController,payout,,,controller:pos.operate_terminal | formrequest[RecordPayoutRequest]:CHECK(non-permission-string),CONTROLLER,
POST,/api/v1/pos/reports/x,App\Modules\POS\Presentation\Controllers\ReportController,generateXReport,,,controller:pos.view_reports,CONTROLLER,
POST,/api/v1/pos/reports/z,App\Modules\POS\Presentation\Controllers\ReportController,generateZReport,,,controller:pos.generate_z_report | formrequest[GenerateZReportRequest]:CHECK:pos.generate_z_report,CONTROLLER,
GET|HEAD,/api/v1/pos/shifts/current/{terminalCode},App\Modules\POS\Presentation\Controllers\ShiftController,current,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/shifts/{id},App\Modules\POS\Presentation\Controllers\ShiftController,show,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/shifts,App\Modules\POS\Presentation\Controllers\ShiftController,index,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/cash-drawer/{shiftId}/operations,App\Modules\POS\Presentation\Controllers\CashDrawerController,operations,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/cash-drawer/{shiftId}/balance,App\Modules\POS\Presentation\Controllers\CashDrawerController,balance,,,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/reports/z/sync,App\Modules\POS\Presentation\Controllers\ZReportSyncController,sync,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/reports/z/{zNumber},App\Modules\POS\Presentation\Controllers\ReportController,showZReport,,,controller:pos.view_reports,CONTROLLER,
GET|HEAD,/api/v1/pos/reports/z/{zNumber}/pdf,App\Modules\POS\Presentation\Controllers\ReportController,downloadPdf,,,controller:pos.view_reports,CONTROLLER,
GET|HEAD,/api/v1/pos/reports/z,App\Modules\POS\Presentation\Controllers\ReportController,listZReports,,,controller:pos.view_reports,CONTROLLER,
POST,/api/v1/pos/reports/z/verify-chain,App\Modules\POS\Presentation\Controllers\ReportController,verifyZReportChain,,,controller:pos.view_reports,CONTROLLER,
POST,/api/v1/pos/reports/receipts/verify-chain,App\Modules\POS\Presentation\Controllers\ReportController,verifyReceiptChain,,,controller:pos.view_reports,CONTROLLER,
POST,/api/v1/pos/shifts/{id}/sync-close,App\Modules\POS\Presentation\Controllers\SyncController,syncCloseShift,,,controller:pos.manage_shifts | formrequest[SyncShiftCloseRequest]:CHECK(non-permission-string),CONTROLLER,
GET|HEAD,/api/v1/pos/stock-levels,App\Modules\POS\Presentation\Controllers\PosStockLevelController,index,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/variants,App\Modules\POS\Presentation\Controllers\PosVariantController,index,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/products/{product}/stock-distribution,App\Modules\POS\Presentation\Controllers\StockDistributionController,show,,,controller:pos.view_cross_location_stock,CONTROLLER,
GET|HEAD,/api/v1/pos/vouchers/sync,App\Modules\POS\Presentation\Controllers\VoucherSyncController,pullVouchers,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/voucher-ledger/sync,App\Modules\POS\Presentation\Controllers\VoucherSyncController,pullVoucherLedger,,,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/voucher-ledger/sync,App\Modules\POS\Presentation\Controllers\VoucherSyncController,pushVoucherLedger,,,controller:pos.operate_terminal | formrequest[VoucherLedgerSyncRequest]:CHECK(non-permission-string),CONTROLLER,
GET|HEAD,/api/v1/pos/receipts/qr-index,App\Modules\POS\Presentation\Controllers\VoucherSyncController,pullReceiptQrIndex,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/customers/sync,App\Modules\POS\Presentation\Controllers\PosCustomerSyncController,index,,,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/customers/pending,App\Modules\POS\Presentation\Controllers\PosPendingCustomerController,store,,,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/replenishment-requests,App\Modules\POS\Presentation\Controllers\PosReplenishmentController,store,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/replenishment-requests,App\Modules\POS\Presentation\Controllers\PosReplenishmentController,index,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/receipts/filter-options,App\Modules\POS\Presentation\Controllers\ReceiptFilterOptionsController,__invoke,,,controller:pos.view_receipts | formrequest[ReceiptFilterOptionsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/receipts,App\Modules\POS\Presentation\Controllers\ReceiptController,index,,,controller:pos.view_receipts | formrequest[IndexReceiptsRequest]:OPEN(returns true),CONTROLLER,
POST,/api/v1/pos/receipts,(closure),,,,,AUTH_ONLY,Closure route; tombstone returns HTTP 410 unconditionally (no DB mutation) per fiscal Phase 1 retirement / DPA V9 D3 ruling
GET|HEAD,/api/v1/pos/receipts/{id},App\Modules\POS\Presentation\Controllers\ReceiptController,show,,,controller:pos.view_receipts,CONTROLLER,
POST,/api/v1/pos/receipts/{id}/void,(closure),,,,,AUTH_ONLY,Closure route; tombstone returns HTTP 410 unconditionally (no DB mutation) per fiscal Phase 1 retirement / DPA V9 D3 ruling
POST,/api/v1/pos/receipts/{id}/return,App\Modules\POS\Presentation\Controllers\ReceiptController,processReturn,,,controller:pos.process_returns | formrequest[StoreReturnRequest]:CHECK(non-permission-string),CONTROLLER,
POST,/api/v1/pos/receipts/{id}/payments,(closure),,,,,AUTH_ONLY,Closure route; tombstone returns HTTP 410 unconditionally (no DB mutation) per fiscal Phase 1 retirement / DPA V9 D3 ruling
GET|HEAD,/api/v1/pos/receipts/{id}/pdf,App\Modules\POS\Presentation\Controllers\ReceiptController,streamPdf,,,controller:pos.view_receipts,CONTROLLER,
GET|HEAD,/api/v1/pos/receipts/{id}/pdf/download,App\Modules\POS\Presentation\Controllers\ReceiptController,downloadPdf,,,controller:pos.view_receipts,CONTROLLER,
GET|HEAD,/api/v1/pos/shifts/{id}/receipts,App\Modules\POS\Presentation\Controllers\ShiftController,receipts,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/shifts/{id}/tolerance-receipts,App\Modules\POS\Presentation\Controllers\ShiftToleranceController,index,,,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/discount-permissions,App\Modules\POS\Presentation\Controllers\DiscountController,getPermissions,,,,AUTH_ONLY,
POST,/api/v1/pos/cart/preview-discounts,App\Modules\POS\Presentation\Controllers\DiscountController,previewDiscounts,,,,AUTH_ONLY,
POST,/api/v1/pos/verify-manager-pin,App\Modules\POS\Presentation\Controllers\ManagerPinController,verify,,,formrequest[VerifyManagerPinRequest]:CHECK(non-permission-string) | service[PinVerifier::verifyForApproval]:hasPermissionTo(),FORMREQUEST,
GET|HEAD,/api/v1/pos/fraud-settings,App\Modules\POS\Presentation\Controllers\FraudSettingsPosController,show,,,,AUTH_ONLY,
GET|HEAD,/api/v1/pos/payment-policy,App\Modules\POS\Presentation\Controllers\PosPaymentPolicyController,show,,,,AUTH_ONLY,
GET|HEAD,/api/v1/pos/authorized-managers,App\Modules\POS\Presentation\Controllers\AuthorizedManagersController,index,,,,AUTH_ONLY,
GET|HEAD,/api/v1/pos/customer-history-searches,App\Modules\POS\Presentation\Controllers\CustomerHistorySearchAuditController,index,pos.search_customer_full_history,,,MIDDLEWARE,
GET|HEAD,/api/v1/pos/analytics/summary,App\Modules\POS\Presentation\Controllers\AnalyticsController,summary,,,controller:pos.view_reports | formrequest[AnalyticsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/analytics/sales-by-category,App\Modules\POS\Presentation\Controllers\AnalyticsController,salesByCategory,,,controller:pos.view_reports | formrequest[AnalyticsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/analytics/sales-by-product,App\Modules\POS\Presentation\Controllers\AnalyticsController,salesByProduct,,,controller:pos.view_reports | formrequest[AnalyticsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/analytics/sales-by-period,App\Modules\POS\Presentation\Controllers\AnalyticsController,salesByPeriod,,,controller:pos.view_reports | formrequest[AnalyticsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/analytics/cashiers,App\Modules\POS\Presentation\Controllers\AnalyticsController,cashiers,,,controller:pos.view_reports | formrequest[AnalyticsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/analytics/discounts,App\Modules\POS\Presentation\Controllers\AnalyticsController,discounts,,,controller:pos.view_reports | formrequest[AnalyticsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/analytics/customers,App\Modules\POS\Presentation\Controllers\AnalyticsController,customers,,,controller:pos.view_reports | formrequest[AnalyticsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/analytics/fnb,App\Modules\POS\Presentation\Controllers\AnalyticsController,fnb,,,controller:pos.view_reports | formrequest[AnalyticsRequest]:OPEN(returns true),CONTROLLER,
GET|HEAD,/api/v1/pos/kitchen/orders,App\Modules\POS\Presentation\Controllers\KitchenDisplayController,index,,Menu,controller:pos.operate_terminal,CONTROLLER,
PATCH,/api/v1/pos/kitchen/orders/{orderId}/lines/{lineId}/status,App\Modules\POS\Presentation\Controllers\KitchenDisplayController,updateLineStatus,,Menu,controller:pos.operate_terminal | formrequest[UpdateLineStatusRequest]:OPEN(returns true),CONTROLLER,
POST,/api/v1/pos/kitchen/orders/{orderId}/bump,App\Modules\POS\Presentation\Controllers\KitchenDisplayController,bump,,Menu,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/orders/{orderId}/served,App\Modules\POS\Presentation\Controllers\KitchenDisplayController,served,,Menu,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/orders,App\Modules\POS\Presentation\Controllers\OrderController,store,,Menu,controller:pos.operate_terminal | formrequest[CreateOrderRequest]:CHECK(non-permission-string),CONTROLLER,
GET|HEAD,/api/v1/pos/orders,App\Modules\POS\Presentation\Controllers\OrderController,index,,Menu,controller:pos.operate_terminal,CONTROLLER,
GET|HEAD,/api/v1/pos/orders/{id},App\Modules\POS\Presentation\Controllers\OrderController,show,,Menu,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/orders/{id}/lines,App\Modules\POS\Presentation\Controllers\OrderController,addLine,,Menu,controller:pos.operate_terminal | formrequest[AddOrderLineRequest]:CHECK(non-permission-string),CONTROLLER,
PATCH,/api/v1/pos/orders/{id}/lines/{lineId},App\Modules\POS\Presentation\Controllers\OrderController,modifyLine,,Menu,controller:pos.operate_terminal | formrequest[ModifyOrderLineRequest]:CHECK(non-permission-string),CONTROLLER,
DELETE,/api/v1/pos/orders/{id}/lines/{lineId},App\Modules\POS\Presentation\Controllers\OrderController,removeLine,,Menu,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/orders/{id}/send-to-kitchen,App\Modules\POS\Presentation\Controllers\OrderController,sendToKitchen,,Menu,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/orders/{id}/cancel,App\Modules\POS\Presentation\Controllers\OrderController,cancel,,Menu,controller:pos.operate_terminal,CONTROLLER,
POST,/api/v1/pos/orders/{id}/close,(closure),,,,,AUTH_ONLY,Closure route; tombstone returns HTTP 410 unconditionally (no DB mutation) per fiscal Phase 1 retirement / DPA V9 D3 ruling
GET|HEAD,/api/v1/procurement-policies,App\Modules\Procurement\Presentation\Controllers\ProcurementPolicyController,show,settings.view,,,MIDDLEWARE,
PUT,/api/v1/procurement-policies,App\Modules\Procurement\Presentation\Controllers\ProcurementPolicyController,update,settings.update,,formrequest[UpdateProcurementPolicyRequest]:CHECK:settings.update,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/goods-receipts/standalone,App\Modules\Procurement\Presentation\Controllers\StandaloneReceiptController,store,goods-receipt.create-standalone,,formrequest[CreateStandaloneReceiptRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/purchase-quote-requests,App\Modules\Procurement\Presentation\Controllers\PurchaseQuoteRequestController,index,purchase-quote-requests.view,,,MIDDLEWARE,
